施設名,郵便番号,住所,電話番号,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯
医療法人 大崎医院,567-0817,大阪府茨木市別院町7番33号,072-624-5087,有,"平日:9:00~12:30,17:00~19:30水・土:午前のみ"
医療法人 加藤産婦人科クリニック,618-0014,大阪府三島郡島本町水無瀬1丁目14-13,075-962-3355,有,緊急時は24時間
医療法人輝ジュンレディースクリニック千里丘,566-0001,大阪府摂津市千里丘2丁目15番16号,06-6330-3203,有,24時間
医療法人橘井会 江川産婦人科医院,567-0801,大阪府茨木市総持寺2丁目1番5号,072-625-3675,有,月・水・金:9:00~12:00、17:00~19:30火・木・土:9:00~12:00
医療法人稲風会 鈴木医院,567-0888,大阪府茨木市駅前3丁目5番21号,072-624-1113,有,月~土:9:00~12:30火・木・土:13:00~14:45月・木・金:17:30~19:15
奥田産婦人科,567-0815,大阪府茨木市竹橋町15番8号,072-622-5253,有,平日:9:00~12:00、17:00~20:00
きどレディースクリニック,567-0828,大阪府茨木市舟木町15番6号,072-635-6366,有,月・火・木~土:9:00~12:30月・水・金:16:30~18:30火:15:00~17:30
学校法人関西医科大学関西医科大学総合医療センター,570-8507,守口市文園町10番15号,06-6992-1001,有,平日 8:30~11:30
医療法人慈心会栗林クリニック,571-0057,門真市元町4-5,06-6909-2060,有,月水金   9:30~12:3017:00~19:00木土    9:30~12:30
医療法人飯藤産婦人科,571-0030,門真市末広町2-7,06-6909-0815,有,平日 9:00~13:3018:00~20:00土   9:00~13:00
医療法人神谷産婦人科医院,571-0046,門真市本町25番8号,06-6908-5156,有,月火金 9:00~19:00水 9:00~13:00  17:00~19:00土 9:00~15:00
金子産婦人科,571-0068,門真市大倉町6番14号,06-6901-3631,有,月~土 9:00~12:00月・水・金 14:00~17:00火・木 17:00~19:00
桑名クリニック,570-0076,守口市滝井西町1-5-5,06-6993-0785,有,月火木金土 10:00~12:0017:00~19:00水        17:00~19:00
医療法人徳洲会 野崎徳洲会病院,574-0074,大東市谷川2丁目10番50号,072-874-1641,有,月・火・水・金 9:00~17:00木 9:00~12:00
医療法人仁久会 藤原産婦人科,576-0042,交野市梅が枝44番3号,072-892-0341,有,月・火・木・金・土 9:00~12:00
医療法人はと産婦人科,576-0022,交野市藤が尾4丁目3-16,072-891-4103,有,月~金 9:00~12:00月・火・木・金 17:00~20:00
天の川レディースクリニック,576-0041,交野市私部西2丁目3番15号,072-892-1124,有,予約制月・火・水(第1、3)・金・土9:30~12:15月 16:30~19:15金 16:30~18:15
医療法人 たかばたけウィメンズクリニック,574-0033,大東市扇町4番18号,072-873-6671,有,月~土 9:00~12:30月・火・木・金 16:30~19:30
医療法人 小林医院 (HPには小林産婦人科クリニックと記載),574-0046,大東市赤井2丁目2番20号,072-872-0268,有,24時間対応可能。ただし分娩がある場合は診察時間外不可の場合もある。
医療法人三和会 福田産婦人科医院,575-0002,四條畷市岡山1丁目4-7,072-862-0621,有,月~土 9:00~12:00月~金 18:00~20:00
ふくだクリニック,575-0051,四條畷市中野本町8-39,072-862-1156,有,月~土 8:30~12:00月・木・金 16:30~19:30
江藤クリニック,583-0861,羽曳野市西浦1242番6号,072-956-8881,有,月火水木金土 9:00~13:00月火木金 17:00~20:00
いしどレディースクリニック,583-0885,羽曳野市南恵我之荘1丁目1番29号,072-959-7123,有,月火木土 8:30~13:00水 8:30~12:00月火水木 17:00~19:30
医療法人光仁幸会 西本産婦人科,580-0016,松原市上田3-7-25,072-331-0512,有,月火水金土 9:00~12:00月火水金 16:30~19:30
医療法人平成会平松産婦人科クリニック,583-0024,藤井寺市藤井寺1-6-1,072-955-8881,有,月火水木金土 9:00~13:00月火木金 17:00~20:00
医療法人 船内クリニック,583-0024,藤井寺市藤井寺1-9-8,072-955-0678,有,月火水木金 9:00~12:00月火水木 17:00~19:00
岡本産婦人科医院,582-0006,柏原市清洲2丁目3-41,072-972-1110,有,月火水金土 9:30~12:00月火水金 14:00~18:00
市立柏原病院,582-0005,柏原市法善寺1-7-9,072-972-0885,有,平日9:00-16:00
PL病院,584-8585,大阪府富田林市新堂2204,0721-24-3100,有,24時間
独立行政法人国立病院機構 大阪南医療センター,586-8521,大阪府河内長野市木戸東町2番1号,0721-53-5761,有,平日8:30-11:00
医療法人てらにしレディースクリニック,589-0008,大阪府大阪狭山市池尻自由丘1丁目2-1,072-367-0666,有,月~土9:00-12:00、月~木土14:00-16:00、月木17:00-19:00
医療法人英駿会斉藤ウィメンズクリニック,584-0074,大阪府富田林市久野喜台1-17-8,0721-40-1151,有,月火水金9:00-12:30、17:00-19:30、木土9:00-12:30
医療法人澤井産婦人科澤井レディースクリニック,584-0005,大阪府富田林市喜志町3-1-22,0721-26-3001,有,24時間
医療法人典彰会あやレディースクリニック,584-0086,大阪府富田林市津々山台2丁目10-1-101,0721-28-1088,有,月火木8:30-12:00、16:30-19:30、金土8:30-12:00
たけい産婦人科クリニック,584-0071,大阪府富田林市藤沢台1-4-1,0721-28-4103,有,平日9:30-21:30、17:00-19:30、土9:30-13:00
ナカノレディスクリニック,586-0091,大阪府河内長野市北貴望ヶ丘3-20,0721-53-1635,有,月水金9:00-12:00、17:00-20:00、火土9:00-12:00
医療法人老木レディスクリニック2,594-1157,和泉市あゆみ野一丁目4番1号,0725-51-0111,有,平常外来診察時間内
清水産婦人科医院,594-0013,和泉市鶴山台2丁目1番地 3号棟104号,0725-43-5410,有,診療時間内
ふみのレディースクリニック,594-0041,和泉市いぶき野五丁目1-2 PIVO和泉中央2F,0725-56-7031,有,月・火・木・金・土AM9:30~11:30 PM15:00~17:30※土曜日AMのみ 水・日・祝休診
まんだいレディースクリニック,594-0076,和泉市肥子町1丁目10-37 みどりビル3F,0725-40-6088,有,平日9:00~12:30 16:00~18:30木・土 9:00~12:30
医療法人蒼鷹会川島クリニック,595-0024,泉大津市池浦町四丁目5番41号,0725-23-5600,有,月火金9:15~12:00 16:00~18:00
清水レディースクリニック,595-0026,泉大津市東雲町3-8,0725-20-0170,有,9:00~12:00 17:00~19:00水曜休診 土曜9:00~12:00
医療法人沢田レディースクリニック,592-0005,高石市千代田1丁目26番19号,072-267-5200,有,平日(水以外)9:00~12:00 17:00~19:00土曜日 9:00~12:00
医療法人育佑会石田医院,592-0002,高石市羽衣1丁目10番11号,072-261-1313,有,"(月・火・水・金)9:00~12:00, 16:30~19:30(土)9:00~12:00"
八木レディースクリニック,595-0805,泉北郡忠岡町忠岡東1丁目22番39号,0725-20-0312,有,月火水金土:9:00~12:00月火水金:16:00~18:30
泉大津市立病院,595-0027,泉大津市下条町16-1,0725-32-5622,有,平日8:30~16:30
社会医療法人啓仁会咲花病院,594-1105,和泉市のぞみ野1-3-30,0725-55-1919,有,平日 9:00~17:00土曜日 9:00~12:00
市立貝塚病院,597-0015,大阪府貝塚市堀3丁目10番20号,072-422-5865,有,受付時間:平日8:30-15:00土曜日8:30-11:00診療時間:平日9:00-17:00土曜日9:00-12:00
市立岸和田市民病院,596-8501,大阪府岸和田市額原町1001,072-445-1000,有,24時間可
医療法人秋桜会おさきマタニティクリニック,597-0015,大阪府貝塚市堀2丁目19番15号,072-423-1103,有,診察時間内
あかね・レディースクリニック,597-0082,大阪府貝塚市石才552,072-436-3541,有,24時間
久松マタニティークリニック,596-0076,大阪府岸和田市野田町1-11-1,072-422-3006,有,平日  9:00-12:00土曜日 9:00-12:00水・金曜日 17:30-19:30
浦川産婦人科,596-0821,大阪府岸和田市小松里町461-9,072-445-0525,有,平日8:50-12:50/16:50-19:50土曜8:50-12:50
岸和田徳洲会病院,596-8522,岸和田市加守町4-27-1,072-445-9915,有,平日8:00-16:30土曜日8:00-11:30
医療法人定生会 谷口病院,598-0043,大阪府泉佐野市大西1-5-20,072-463-3232,有,24時間
医療法人 笠松産婦人科・小児科,599-0211,大阪府阪南市鳥取中192-2,072-471-3222,有,診察時間内
みむらレディースケアクリニック,590-0451,大阪府泉南郡熊取町野田3-353-4,072-451-0377,有,平日 9:00-12:0017:00-19:00土曜 9:00-12:00
辻レディースクリニック,599-0203,大阪府阪南市黒田590サンギャラリー2F,072-470-0125,有,"月,水,金 9:00-12:0016:00-19:00火,土,日 9:00-12:00"
医療法人きらめき会ながまつレディースクリニック,599-0204,大阪府阪南市鳥取628-1,072-472-3788,有,基本:診察時間内その他の時間要連絡
医療法人井阪会 レオゲートタワーレディースクリニック,598-0048,大阪府泉佐野市りんくう往来北1 りんくうゲートタワービル18階,072-460-2800,有,"平日,土,祝日 9:00-12:30月,火,木,金 16:30⊶19:30"
愛染橋病院,556-0005,大阪市浪速区日本橋5-16-15,06-6633-2801,有,平日8:30~15:00、土曜日8:30~11:00
奥野病院,545-0001,大阪市阿倍野区天王寺町北2-31-4,06-6719-2200,有,月~土:9:00-12:00金17:00-19:00
大阪府済生会中津病院,530-0012,大阪市北区芝田2-10-39,06-6372-0333,有,平日9:00-17:00
社会医療法人愛仁会 千船病院,555-0034,大阪市西淀川区福町3-2-39,06-6471-9541,有,平日 9:00~17:00
地方独立行政法人大阪府立病院機構大阪急性期・総合医療センター,558-8558,大阪府大阪市住吉区万代東3-1-56,06-6692-1201,有,平日(通常):8:30~11:00平日(緊急):11:00~17:00平日(時間外):17:00~翌日9:00休診日:9:00~翌日9:00
大阪暁明館病院,554-0012,大阪市此花区西九条5-4-8,06-6462-0261,有,平日8:30-15:00土8:30-11:30
大阪市立十三市民病院,532-0034,大阪市淀川区野中北2-12-27,06-6150-8000,有,平日8:45~17:15
医療法人飯島会産科婦人科飯島病院,542-0082,大阪市中央区島之内2-15-4,06-6211-4114,有,平日 9:00~13:00 17:00~20:00土曜 9:00~13:00
医療法人愛賛会浜田病院,547-0024,大阪市平野区瓜破1-6-9,06-6708-7200,有,月~土9:00-11:30月~土14:00-15:30水17:00-19:00
なにわ生野病院,556-0014,大阪府大阪市浪速区大国1丁目10-3,06-6632-9915,有,火・金曜日9:00~12:00、水・金曜日14:00~17:00
社会医療法人 協和会加納総合病院,531-0041,大阪市北区天神橋7-5-15,06-6351-5381,有,月・火・水・木・金 9:00-11:30
関西電力病院,553-0003,大阪市福島区福島2-1-7,06-6458-5821,有,平日 9:00~17:00夜間および土・日・祝の当直帯においては当直医により専門領域が異なるため事前に電話確認要。
医療法人国崇会北中レディースクリニック,530-0001,大阪市北区梅田2丁目2番2号ヒルトンプラザウエスト4F,06-6348-1404,有,月水木金土祝11:00-13:30月火水木金土祝15:00-20:00
志村ウィメンズクリニック,530-0017,大阪市北区角田町8番47号阪急グランドビル22階,06-6316-1132,有,月火水木金土 9:00-12:30月火水金 16:00-19:30
ふくだあやレディースクリニック・ひろつぐ出生前診断クリニック,530-0038,大阪市北区紅梅町1番6号カザリーノビル1階,06-6354-0088,有,平日土日10:00-18:00
東梅田かなもりクリニック,530-0051,大阪市北区太融寺町6番8号阪急産業ウメダビル9階,06-6755-4501,有,月水木金13:00-16:00、17:30-21:00火17:30-21:00  土15:00-19:00日祝13:00-17:00
医療法人 ケイズ会 茶屋町レディースクリニック,530-0013,大阪市北区茶屋町2番19号JPR茶屋町ビル4F,06-6359-7771,有,平日10:00-13:00 15:00-19:30土日10:00-14:00水曜午前、祝休診
医療法人ケイズ会 茶屋町レディースクリニック分院,530-0013,大阪市北区茶屋町12番6号エスパシオン梅田ビル7階,06-6375-7772,有,平日10:00-13:00 15:00ー19:30土10:00-14:00 金・日・祝休診
南森町レディースクリニック,530-0041,大阪市北区天神橋2丁目5番25号若杉グランドビル本館1階,06-6356-2824,有,平日10:00-19:00土祝10:00-14:00(木曜日 休診)
医療法人 天神橋ゆかこレディースクリニック,530-0041,大阪市北区天神橋6-6-11エレガントビル大阪2F,06-6314-6651,有,平日9:30-13:00 15:00-18:00土水9:30-13:00
いわいレディースクリニック,530-0041,大阪市北区天神橋4丁目11番6号ミクシィーワンビル3階,06-6882-8686,有,月-土9:30-13:30月火水金17:00-19:00
川島産婦人科クリニック,530-0041,大阪市北区天神橋5丁目5番23号,066351-2374,有,24時間
医療法人聖誕会 うめだファティリティークリニック,531-0072,大阪市北区豊崎3丁目17番6号,06-6371-0363,有,平日9:30-11:30 13:30-15:00
まつおかレディースクリニック,531-0072,大阪市北区豊崎3丁目20番10号大明ビル2F,06-6377-8601,有,平日9:30-18:30土9:00-12:00
うまみ美容クリニック,530-0003,大阪市北区堂島2丁目1番31号オリックス堂島ビル3階,06-6345-7480,有,10:00-19:00(正月3が日を除く年中無休)
医療法人さたクリニック,531-0062,大阪市北区長柄中1丁目5番16号グランドール有本1階,06-6358-2503,有,平日9:30-15:00土9:00-13:00
木村クリニック,530-0047,大阪市北区西天満4丁目12番17号サンキムラビル6F,06-6365-9646,有,平日9:30-11:30 16:30-18:00土9:30-11:30
川端産婦人科,534-0015,大阪市都島区善源寺町2丁目2番22号善源寺メディカルモール2F,06-6925-6603,有,月木金9:30-12:00 14:00-18:30土9:30-12:00 13:00-15:00日10:00-12:00 13:00-15:00(いずれも30分前受付)
しおじレディースクリニック,534-0024,大阪市都島区東野田町2丁目3番19号MFK京橋駅前ビル3F,06-6355-5010,有,月火水金9:00-12:30 16:30-19:00木土9:00-12:30
小林産婦人科,534-0014,大阪市都島区都島北通1丁目14番24号,06-6924-0934,有,平日9:00-13:30 17:00-19:00土9:00-13:30ただし平日は木のみ9:00-13:30
医療法人 猿渡レディスクリニック,553-0007,大阪市福島区大開1丁目2番4号,06-6461-9059,有,月~土 9:00-12:00月・火・水・金 16:30-19:30日・祝 休診
まさこレディースクリニック,553-0004,大阪市福島区玉川4丁目3番20号,066459-5277,有,月火水金土9:30-13:00月水金16:00-18:00(受付時間 30分前)
医療法人 弘正会 ちもりメディカルクリニック,553-0005,大阪市福島区野田3丁目12番14号ソフィアコート野田1階,06-6467-5200,有,月水金9:15-12:30 14:00-17:30
医療法人 木本会 鈴木産婦人科,554-0021,大阪市此花区春日出北2丁目6番8号,06-6461-0623,有,月火水金9:00-19:00木土9:00-12:00
医療法人勇拓会 牧野レディースクリニック,554-0014,大阪市此花区四貫島2丁目4番3号,06-6461-0308,有,診察時間内
医療法人 美龍会 はやしレディース肛門・泌尿器クリニッ,542-0061,大阪市中央区安堂寺町2丁目6番3号アイズワンIII2階,06-6770-5514,有,10:00-13:00 16:00-20:00(水日以外)
医療法人栗山クリニック,541-0057,大阪市中央区北久宝寺町2丁目5番5号ロベルビル2F,06-6251-2556,有,平日9:30-17:45水曜9:30-13:15木曜9:30-11:45土曜・月2回診療電話で確認お願いします。
医療法人 晧真会 野村クリニック,542-0072,大阪市中央区高津3丁目2番28号2階,06-6632-8700,有,9:30-12:30 14:30-18:30
松岡医院,542-0072,大阪市中央区高津3丁目3番23号,06-6641-8020,有,月火水9:30-16:00火木9:30-14:00土曜日 9:30-12:00日祝 休診
医療法人あかね・レディースクリニック グリーンズクリニック,541-0043,大阪市中央区高麗橋2丁目4番2号メディカルモール北浜4F,06-4707-7077,有,平日10:00-19:00(火・木 休)土10:00-17:00
医療法人フラウエン こうむら女性クリニック,540-0033,大阪市中央区石町1丁目1番1号天満橋千代田ビル2号館2階,06-6966-3063,有,月-土10:00-13:00月火水金15:00-18:00
医療法人藤広育生会 ふじたクリニック,542-0082,大阪市中央区島之内2丁目11番20号島之内ビル2階,06-6213-6677,無,月火水金土9:00-11:30 14:00-17:30
医療法人秀晄会コムロ美容外科,542-0085,大阪市中央区心斎橋筋1丁目10番11号ルフレ21  8階,06-6258-1367,無,水以外10:00-18:30
星光クリニック,542-0076,大阪市中央区難波2丁目3番5号テイックランドビル 4階,06-6484-0001,有,10:30-19:00
医療法人 晧真会 野村クリニックなんば院,542-0076,大阪市中央区難波4丁目4番4号6階,06-6633-4178,有,平日9:30-12:30 14:30-12:00土9:30-12:30
医療法人社団 新生会 大阪なんばクリニック,542-0076,大阪市中央区難波5丁目1番60号なんばスカイオ9階,06-6648-8930,有,月・水・木・金(平日)9:00-17:00
谷口レディースクリニック,542-0073,大阪市中央区日本橋1丁目3番1号三共日本橋ビル9階,06-6211-8211,有,平日10:00-13:00 16:00-19:00土10:00-13:00
医療法人 聖和会 早川クリニック,542-0086,大阪市中央区西心斎橋1丁目4番5号御堂筋ビル  5階,06-6245-2100,有,平日9:30-18:00水曜日のみ 16:00-18:00土9:30-12:00
二宮レディースクリニック,542-0086,大阪市中央区西心斎橋1丁目13番21号コーニッシュビル6階,06-6251-7505,有,月曜 10:00-18:30火曜~土曜 10:00-17:00
医療法人 大生會 さくま診療所,542-0083,大阪市中央区東心斎橋1丁目14番14号TKビル2階,06-6241-5814,有,平日9:30-12:30 14:00-16:0018:00-20:00 土9:30-12:30
医療法人 大美会 大阪美容クリニック,542-0083,大阪市中央区東心斎橋2丁目8番28号周防町GEOビル3F,06-6214-67770120-373-889,有,月-土11:00-21:00日祝11:00-20:00
医療法人 しもむら本町レディースクリニック,541-0053,大阪市中央区本町2丁目3番9号JPS本町ビルディング8階,06-4708-8686,有,平日10:00-13:00 15:00-19:00
医療法人 ラ・クォール会ラ・クォール本町クリニック,541-0053,大阪市中央区本町3丁目5番2号辰野本町ビル2階,06-6125-1250,有,平日10:00-18:30、土曜10:00-13:00
医療法人みつもとレディースクリニック,542-0081,大阪市中央区南船場1丁目10番20号南船場M21ビル 1階,06-6263-2631,有,平日9:30-13:00 16:30-19:15土9:30-13:00
北堀江奏でレディースクリニック,550-0014,大阪市西区北堀江2丁目1番11号久我ビル北館6F,06-6616-9076,有,平日9:00-18:30土9:00-13:00第2・4日9:00-13:00
医療法人福仁会 ウエナエ産婦人科,550-0025,大阪市西区九条南2丁目32番7号,06-6581-5382,有,月~土9:00-13:00月火木金17:00-19:00*受付は終了時間の30分前まで祝日は休診
かおるレディースクリニック,550-0005,大阪市西区西本町1丁目10番7号第II新松岡ビル1F,06-6534-0035,有,月水9:45-13:00火金9:45-18:00土9:45-13:00
医療法人 島野医院,550-0015,大阪市西区南堀江4丁目4番20号アーデンタワー南堀江1階,06-6533-0020,有,月・金 9:00-19:00火 17:00-19:00水 9:00-12:00木16:00-19:00
土田クリニック,552-0016,大阪市港区三先2丁目12番14号,06-6571-2678,婦人科 有,月-土9:00-12:00月火木金17:00-19:00
加納レディースクリニック,551-0002,大阪市大正区三軒家東1丁目16番39号北澤館大正1階,06-6556-1577,有,平日9:30-12:30 16:00-19:00土9:30-12:30
大正病院附属産婦人科クリニック,551-0002,大阪市大正区三軒家東4丁目6番8号,06-6551-1103,有,月-土8:45-12:00月火水金17:00-19:00
ちかえレディースクリニック,543-0023,大阪市天王寺区味原町14番4号レザックセントラルビル1F,06-6761-0735,有,月-土9:30-12:30火木17:00-19:00
医療法人 淑蘭会 上本町ヒロミレディースクリニック,543-0001,大阪市天王寺区上本町6丁目6番26号上六光陽ビル302号,06-6777-8824,有,月水9:00-12:00 16:00-19:00木16:00-21:00 金16:00-19:00土日9:00-12:00
東産婦人科・眼科,543-0042,大阪市天王寺区烏ケ辻1丁目3番23号 2F,06-6772-2460,有,平日9:00-12:30 16:00-19:00土9:00-12:30
医療法人 脇本産婦人科,543-0012,大阪市天王寺区空堀町1番19号,06-6761-5537,有,月・水・金 9:00-17:30火・土 9:00-12:00木日休診
宮原レディースクリニック,543-0045,大阪市天王寺区寺田町1丁目7番3号,06-4305-8806,有,平日9:00-12:00 15:00-18:00水土9:00-12:00
三好産婦人科,543-0021,大阪市天王寺区東高津町10番7号,06-6761-7236,有,平日・土9:30-13:00火水金17:00-19:30
医療法人曙光会 おおつかレディースクリニック,543-0054,大阪市天王寺区南河堀町9番40号,06-6776-8856,有,木日以外9:30-12:30
小池レディスクリニック,556-0011,大阪市浪速区難波中2丁目3番3号森川医療ビル5F,06-6575-9323,産科・婦人科 有,平日9:30-13:00 15:30-18:30土9:30-13:00 15:30-18:30
医療法人 近藤産婦人科,555-0022,大阪市西淀川区柏里2丁目2番12号,06-6471-2103,有,平日9:30-12:30 16:00-18:30木・土9:30-12:30
かわばたレディスクリニック,532-0023,大阪市淀川区十三東2丁目5番15号アーリーアーク1F,06-6308-7660,有,月-土10:00-13:00月・火・木・金16:30-19:30
医療法人 志紀会 希咲クリニック,532-0023,大阪市淀川区十三東2丁目7番8号十三東駅前ビル3階,06-6476-7233,有,月火木金9:30-12:30 15:00-19:00土9:30-12:30
レディース クリニック かたかみ,532-0011,大阪市淀川区西中島1丁目11番23号ユニティ北川口1階,06-6100-2525,婦人科 有,11:00-18:30木土11:00-13:00
こおりたクリニック,532-0002,大阪市淀川区東三国5丁目15番27号,06-6394-0055,有,平日9:00-12:30 16:00-19:00土9:00-12:30
医療法人 斉藤女性クリニック,532-0003,大阪市淀川区宮原1丁目6番1号新大阪ブリックビル2階,06-6151-5582,有,平日9:30-12:30 16:00-18:30土9:30-13:00
坂本産婦人科クリニック,533-0005,大阪市東淀川区瑞光4丁目12番36号,06-6326-4103,有,月水金9:00-12:0017:00-19:00水・土9:00-12:00木・日・祝 休み
医療法人ヒロレディースクリニック,533-0023,大阪市東淀川区東淡路4丁目30番2号イーズメディテラスII 4階,06-6990-5100,有,平日9:30-12:30 16:00-19:00土9:30-12:30
医療法人 明青会 あやこレディースクリニック,537-0025,大阪市東成区中道3丁目16番15号ソレアード玉造 2階,06-6753-7416,有,診療時間内
中山医院,537-0021,大阪市東成区東中本2丁目2番1号,06-6971-0801,有,月火水金9:00-13:00
前田診療所,537-0021,大阪市東成区東中本2丁目16番19号ロイヤルラフィーネ1F,06-6977-1955,有,平日9:30-18:30土9:00-12:30
藤上産婦人科クリニック,544-0021,大阪市生野区勝山南4丁目2番23号,06-6717-6033,有,診療時間内
医療法人光臨会 奥野クリニック,544-0011,大阪市生野区田島4丁目6番16号長田ビル2F,06-6751-5269,有,平日9:00-19:00土9:00-12:30
ゆきおかクリニック,544-0034,大阪市生野区桃谷2丁目17番18号,06-6718-3939,有,月火木金土9:00-18:00
医療法人圭香会梅嵜クリニック,535-0021,大阪市旭区清水5丁目13番22号,06-6958-3800,有,平日9:30-12:30 16:30-19:30土9:30-12:30
医療法人 神吉産婦人科,535-0022,大阪市旭区新森5丁目4番10号,06-6956-1001,有,月火木金9:00-12:00 17:30-19:30
医療法人 岩田レディースクリニック,535-0003,大阪市旭区中宮4丁目9番19号,06-6951-7089,有,月火木金9:00-12:00 17:00-19:00土9:00-12:00
医療法人 金井産婦人科,536-0004,大阪市城東区今福西1丁目2番8号,06-6931-2391,産婦人科 有,月~土9:00-11:30月水木金13:00-14:30月水18:00-19:30
医療法人三和会 福田医院,536-0013,大阪市城東区鴫野東2丁目12番2号,06-6961-3279,有,月火水木金9:00-12:00 17:00-19:00木土9:00-12:;00
医療法人 米田産婦人科,538-0051,大阪市鶴見区諸口1丁目13番16号,06-6913-1135,有,月~土9:00-12:00月水金17:00-19:00
医療法人 霜星会 りかこレディースクリニック,545-0052,大阪市阿倍野区阿倍野筋1丁目3番15号阿倍野共同ビル8階,06-6625-7711,有,月火木金土9:00-12:30月火金14:00-16:30木17:00-20:15
